video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
pGYyUssWLTA,MrBeast,Social Media As A Job????,"['Mr.Beast', 'mr', 'beast', 'social', 'media', 'free', 'for', 'comapines', 'pay', 'job']",2015-08-29 18:20:31+00:00,46298.0,1804.0,,459.0,PT3M9S,hd,False,Saturday,189.0,0
j7kM8G_AjuY,MrBeast,Airplane Pilots Last Words Before Death,"['Mr.Beast', 'mr', 'beast', 'pilots', 'last', 'words', 'before', 'crashing', 'sad', 'death']",2015-08-28 21:56:21+00:00,126876.0,2431.0,,210.0,PT2M29S,hd,False,Friday,149.0,0
deK-My3Of0o,MrBeast,How Much Do T.V. Commercials Cost?????,"['Mr.Beast', 'mr', 'beast', 'how', 'much', 'does', 'tv', 'commercials', 'cost', 'super', 'bowl', '2015', '2016']",2015-08-28 01:40:10+00:00,46597.0,1377.0,,263.0,PT3M29S,hd,False,Friday,209.0,0
oB8kFFvJdhE,MrBeast,How To Tweet When You're Dead! DEADSOCIAL Facebook And Instagram Also!,"['Mr.Beast', 'mr', 'beast', 'deadsocial', 'tweet', 'after', 'death', 'facebook', 'status', 'updat', 'update', 'instagram', 'post']",2015-08-27 10:00:01+00:00,46548.0,1663.0,,389.0,PT4M29S,hd,False,Thursday,269.0,0
X9eXa-Uzuj0,MrBeast,My Favorite FaZe Clan Members?????,"['Mr.Beast', 'mr', 'beast', 'my', 'favorite', 'faze', 'clan', 'members']",2015-08-26 10:00:00+00:00,48462.0,1669.0,,221.0,PT3M54S,hd,False,Wednesday,234.0,0
GxTVDClFXuc,MrBeast,MrBeast6000Subs,"['Mr.Beast', 'mr', 'beast']",2015-08-23 11:00:00+00:00,786967.0,50843.0,,4354.0,PT5M32S,hd,False,Sunday,332.0,0
kGaq-Qi9hoE,MrBeast,"Youtube Networking - Aka Fake Likes, Subs, And Comments","['Mr.Beast', 'mr', 'beast', 'youtube', 'networking', 'sub', 'like', 'comment', '1k', 'subs']",2015-08-21 20:04:55+00:00,46445.0,2505.0,,441.0,PT4M28S,hd,False,Friday,268.0,0
9zFfp3gzZ88,MrBeast,I Hate Youtubers That Ask For Likes,"['Mr.Beast', 'mr', 'beast', 'hate', 'youtubers', 'that', 'ask', 'for', 'likes', 'advanced', 'supply', 'drop', 'opening']",2015-08-20 19:13:03+00:00,178067.0,10050.0,,718.0,PT4M16S,hd,False,Thursday,256.0,0
mM2KwBYa-u4,MrBeast,My Mom Found My Channel!! :0,"['Mr.Beast', 'mr', 'beast', 'my', 'mom', 'found', 'channel', 'black', 'ops', 'three', 'gameplay']",2015-08-20 01:44:22+00:00,710635.0,24982.0,,2482.0,PT4M32S,hd,False,Thursday,272.0,0
WAcmsAISniQ,MrBeast,1080p FREE TO USE BLACK OPS 3 GAMEPLAY,"['Mr.Beast', 'mr', 'beast', 'free', 'to', 'use', 'cod', 'gameplay', 'black', 'ops', 'three']",2015-08-19 21:35:16+00:00,72467.0,1716.0,,175.0,PT2M23S,hd,False,Wednesday,143.0,0
kqUT-s3a6tU,MrBeast,"Black Ops 3 First Impressions, My First Game","['Mr.Beast', 'mr', 'beast', 'black ops 3', 'my', 'first', 'game', 'first impressions']",2015-08-19 02:44:52+00:00,46317.0,1451.0,,367.0,PT3M41S,hd,False,Wednesday,221.0,0
NUVglXbGBfs,MrBeast,Dogs Opinions On Youtubers Getting BO3 Early,"['Mr.Beast', 'mr', 'beast', 'black', 'ops', 'early', 'access']",2015-08-18 20:55:37+00:00,81347.0,2671.0,,175.0,PT1M16S,hd,False,Tuesday,76.0,0
T-v4b3WtPAg,MrBeast,BO3,"['Mr.Beast', 'mr', 'beast', 'black', 'ops', 'three', 'in', 'vondi', 'we', 'trust', 'black op 3', 'view', 'title']",2015-08-18 17:07:49+00:00,970942.0,27066.0,,2108.0,PT3M41S,hd,False,Tuesday,221.0,0
m8qGlpcfAIw,MrBeast,Xbox One Destroyer? COD Advertisement Is Free,"['Mr.Beast', 'mr', 'beast', 'xbox', 'one', 'destroyer', 'cod', 'advertisement', 'free', 'why', 'are', 'you', 'reading', 'this', 'ghost', 'sucks']",2015-08-18 01:08:14+00:00,46435.0,1480.0,,307.0,PT4M8S,hd,False,Tuesday,248.0,0
